"","agegrp","DS","Serogroup","Serotype","carriage","disease","n.swab","N","time.int","carr.prev","carr.prev.low","carr.prev.high","lambda","lambda.low","lambda.high","invasiveness","invasiveness.low","invasiveness.high","vaccinationera"
"1","adults","Alabama.pre.PCV","VT10","1",5,4,827,232373,3.4,0.00604596756783378,0.00266378865726641,0.0140355320594771,4,1.62,10.24,0.00154026256964233,0.000280047739934969,0.00462078770892699,"pre.PCV"
"2","adults","Alabama.pre.PCV","NVT","13",6,6,827,232373,3.4,0.00725515924601981,0.00340556220072538,0.0157051126881331,6,2.81,13.06,0.00110018754974545,0.000400068199907436,0.0039006649490975,"pre.PCV"
"3","adults","Alabama.pre.PCV","VT7","14",20,4,827,232373,3.4,0.0241838284894329,0.0157667344081218,0.0370592442520189,4,1.62,10.24,0.000300051149930577,0,0.000700119349838013,"pre.PCV"
"4","adults","Alabama.pre.PCV","NVT","20",3,2,827,232373,3.4,0.00362752850225875,0.00131780411086543,0.0105516262009735,2,0.62,7.22,0.000300051149930577,0.000200034099953718,0.00510086954881981,"pre.PCV"
"5","adults","Alabama.pre.PCV","NVT","29",0,1,827,232373,3.4,0,0,0.00444518650926162,1,0.24,5.57,0.00190034472204317,0.000800145146123442,0.8682575016872,"pre.PCV"
"6","adults","Alabama.pre.PCV","VT13","3",35,12,827,232373,3.4,0.0423216362929548,0.0306343546696565,0.0583002334476876,12,6.92,20.96,0.000300051149930577,0,0.000700119349838013,"pre.PCV"
"7","adults","Alabama.pre.PCV","NVT","31",0,3,827,232373,3.4,0,0,0.00444518650926162,3,1.09,8.77,0.00550099787959866,0.0020003628653086,0.880259678879051,"pre.PCV"
"8","adults","Alabama.pre.PCV","NVT","34",0,2,827,232373,3.4,0,0,0.00444518650926162,2,0.62,7.22,0.00190034472204317,0.00160029029224688,0.87525877171578,"pre.PCV"
"9","adults","Alabama.pre.PCV","NVT","37",13,0,827,232373,3.4,0.0157194206684248,0.00927397233886493,0.0266986988897564,0,0,3.68,0.000100017049976859,0,0.000300051149930577,"pre.PCV"
"10","adults","Alabama.pre.PCV","NVT","38",3,1,827,232373,3.4,0.00362752850225875,0.00131780411086543,0.0105516262009735,1,0.24,5.57,0.000300051149930577,0,0.00350059674919007,"pre.PCV"
