study,type,carriage_samples,surveillance_population,time_interval,carriage,disease
Alabama.pre.PCV,1,827,19316,3.4,5,4
Alabama.pre.PCV,13,827,19316,3.4,6,0
Alabama.pre.PCV,14,827,19316,3.4,20,18
Alabama.pre.PCV,20,827,19316,3.4,3,0
Alabama.pre.PCV,3,827,19316,3.4,35,0
Alabama.pre.PCV,31,827,19316,3.4,0,1
Alabama.pre.PCV,37,827,19316,3.4,13,0
Alabama.pre.PCV,38,827,19316,3.4,3,0
Alabama.pre.PCV,4,827,19316,3.4,14,8
Alabama.pre.PCV,5,827,19316,3.4,0,1
Alabama.pre.PCV,8,827,19316,3.4,4,0
Barcelona.post.PCV7,1,209,228000,4,2,39
Barcelona.post.PCV7,10A,209,228000,4,10,2
Barcelona.post.PCV7,11A,209,228000,4,9,0
Barcelona.post.PCV7,14,209,228000,4,4,6
Barcelona.post.PCV7,15A,209,228000,4,6,2
Barcelona.post.PCV7,15B/C,209,228000,4,13,3
Barcelona.post.PCV7,16F,209,228000,4,5,2
Barcelona.post.PCV7,17F,209,228000,4,5,0
Barcelona.post.PCV7,19A,209,228000,4,21,34
Barcelona.post.PCV7,19F,209,228000,4,13,7
Barcelona.post.PCV7,21,209,228000,4,5,0
Barcelona.post.PCV7,22F,209,228000,4,8,3
Barcelona.post.PCV7,23A,209,228000,4,9,0
Barcelona.post.PCV7,23B,209,228000,4,17,5
Barcelona.post.PCV7,23F,209,228000,4,7,4
Barcelona.post.PCV7,3,209,228000,4,2,8
Barcelona.post.PCV7,34,209,228000,4,6,0
Barcelona.post.PCV7,35B,209,228000,4,5,0
Barcelona.post.PCV7,5,209,228000,4,0,14
Barcelona.post.PCV7,6A,209,228000,4,16,4
Barcelona.post.PCV7,6B,209,228000,4,4,2
Barcelona.post.PCV7,6C,209,228000,4,19,1
Barcelona.post.PCV7,7F,209,228000,4,0,14
Bogota.post.PCV7,1,246,357200,1,0,8
Bogota.post.PCV7,10A,246,357200,1,1,0
Bogota.post.PCV7,11A,246,357200,1,7,2
Bogota.post.PCV7,13,246,357200,1,1,0
Bogota.post.PCV7,14,246,357200,1,3,14
Bogota.post.PCV7,15A,246,357200,1,2,2
Bogota.post.PCV7,15B/C,246,357200,1,13,5
Bogota.post.PCV7,16F,246,357200,1,1,2
Bogota.post.PCV7,17F,246,357200,1,2,0
Bogota.post.PCV7,18A,246,357200,1,1,0
Bogota.post.PCV7,18C,246,357200,1,2,5
Bogota.post.PCV7,19A,246,357200,1,3,5
Bogota.post.PCV7,19B,246,357200,1,1,0
Bogota.post.PCV7,19F,246,357200,1,3,2
Bogota.post.PCV7,20,246,357200,1,0,1
Bogota.post.PCV7,22F,246,357200,1,0,1
Bogota.post.PCV7,23A,246,357200,1,6,0
Bogota.post.PCV7,23B,246,357200,1,1,1
Bogota.post.PCV7,23F,246,357200,1,5,4
Bogota.post.PCV7,24F,246,357200,1,1,1
Bogota.post.PCV7,25A,246,357200,1,0,3
Bogota.post.PCV7,28A,246,357200,1,0,2
Bogota.post.PCV7,29,246,357200,1,1,0
Bogota.post.PCV7,3,246,357200,1,1,12
Bogota.post.PCV7,35B,246,357200,1,5,2
Bogota.post.PCV7,35F,246,357200,1,3,0
Bogota.post.PCV7,4,246,357200,1,0,1
Bogota.post.PCV7,42,246,357200,1,1,0
Bogota.post.PCV7,5,246,357200,1,0,1
Bogota.post.PCV7,6A,246,357200,1,6,1
Bogota.post.PCV7,6B,246,357200,1,2,4
Bogota.post.PCV7,6C,246,357200,1,2,0
Bogota.post.PCV7,7C,246,357200,1,1,0
Bogota.post.PCV7,8,246,357200,1,0,2
Bogota.post.PCV7,9V,246,357200,1,0,2
Bogota.pre.PCV,1,197,357200,4,0,29
Bogota.pre.PCV,10A,197,357200,4,3,1
Bogota.pre.PCV,10B,197,357200,4,0,1
Bogota.pre.PCV,11A,197,357200,4,4,1
Bogota.pre.PCV,12F,197,357200,4,0,3
Bogota.pre.PCV,13,197,357200,4,1,4
Bogota.pre.PCV,14,197,357200,4,9,163
Bogota.pre.PCV,15A,197,357200,4,0,1
Bogota.pre.PCV,15B/C,197,357200,4,6,2
Bogota.pre.PCV,15F,197,357200,4,1,0
Bogota.pre.PCV,16F,197,357200,4,1,3
Bogota.pre.PCV,18A,197,357200,4,1,1
Bogota.pre.PCV,18B,197,357200,4,0,1
Bogota.pre.PCV,18C,197,357200,4,3,11
Bogota.pre.PCV,18F,197,357200,4,0,2
Bogota.pre.PCV,19A,197,357200,4,3,10
Bogota.pre.PCV,19B,197,357200,4,1,0
Bogota.pre.PCV,19F,197,357200,4,25,13
Bogota.pre.PCV,22F,197,357200,4,0,2
Bogota.pre.PCV,23A,197,357200,4,5,2
Bogota.pre.PCV,23B,197,357200,4,2,1
Bogota.pre.PCV,23F,197,357200,4,7,9
Bogota.pre.PCV,24F,197,357200,4,0,2
Bogota.pre.PCV,25A,197,357200,4,1,2
Bogota.pre.PCV,3,197,357200,4,1,6
Bogota.pre.PCV,34,197,357200,4,3,0
Bogota.pre.PCV,35C,197,357200,4,0,1
Bogota.pre.PCV,35F,197,357200,4,2,1
Bogota.pre.PCV,4,197,357200,4,2,5
Bogota.pre.PCV,5,197,357200,4,0,5
Bogota.pre.PCV,6A,197,357200,4,23,16
Bogota.pre.PCV,6B,197,357200,4,12,26
Bogota.pre.PCV,7C,197,357200,4,0,1
Bogota.pre.PCV,7F,197,357200,4,0,3
Bogota.pre.PCV,8,197,357200,4,0,1
Bogota.pre.PCV,9N,197,357200,4,5,2
Bogota.pre.PCV,9V,197,357200,4,0,8
Caracas.pre.PCV,1,1004,146125,1,0,2
Caracas.pre.PCV,14,1004,146125,1,23,6
Caracas.pre.PCV,19A,1004,146125,1,32,3
Caracas.pre.PCV,19F,1004,146125,1,3,2
Caracas.pre.PCV,23F,1004,146125,1,25,1
Caracas.pre.PCV,3,1004,146125,1,2,1
Caracas.pre.PCV,4,1004,146125,1,3,0
Caracas.pre.PCV,5,1004,146125,1,0,2
Caracas.pre.PCV,6A,1004,146125,1,20,3
Caracas.pre.PCV,6B,1004,146125,1,70,10
Caracas.pre.PCV,7F,1004,146125,1,1,3
Caracas.pre.PCV,9V,1004,146125,1,2,0
Czech.pre.PCV,1,425,478177,9,0,9
Czech.pre.PCV,10A,425,478177,9,6,4
Czech.pre.PCV,11A,425,478177,9,8,1
Czech.pre.PCV,12F,425,478177,9,0,1
Czech.pre.PCV,14,425,478177,9,5,19
Czech.pre.PCV,15B/C,425,478177,9,17,0
Czech.pre.PCV,17F,425,478177,9,0,1
Czech.pre.PCV,18C,425,478177,9,9,9
Czech.pre.PCV,19A,425,478177,9,0,2
Czech.pre.PCV,19F,425,478177,9,10,12
Czech.pre.PCV,23A,425,478177,9,3,1
Czech.pre.PCV,23F,425,478177,9,30,13
Czech.pre.PCV,28F,425,478177,9,0,2
Czech.pre.PCV,3,425,478177,9,6,5
Czech.pre.PCV,33F,425,478177,9,0,1
Czech.pre.PCV,35F,425,478177,9,5,0
Czech.pre.PCV,37,425,478177,9,2,1
Czech.pre.PCV,38,425,478177,9,1,1
Czech.pre.PCV,4,425,478177,9,2,5
Czech.pre.PCV,40,425,478177,9,0,1
Czech.pre.PCV,5,425,478177,9,0,1
