study,type,carriage,disease,carriage_samples,surveillance_population,time_interval,strain
South.Africa.post.PCV7,31,7,0,2674,7187314,3,GPSC57
South.Africa.post.PCV13,7C,3,2,2023,7329006,2,GPSC93
South.Africa.post.PCV13,6A_pv,3,1,2023,7329006,2,GPSC5
South.Africa.post.PCV7,23F_pv,1,1,2674,7187314,3,GPSC330
South.Africa.post.PCV13,35A,5,1,2023,7329006,2,GPSC43
South.Africa.post.PCV13,16F,30,2,2023,7329006,2,GPSC33
South.Africa.post.PCV7,19F_pv,16,16,2674,7187314,3,GPSC1
South.Africa.post.PCV7,6A_pv,35,27,2674,7187314,3,GPSC13
South.Africa.post.PCV7,6B_pv,1,1,2674,7187314,3,GPSC129
South.Africa.post.PCV7,19B,1,0,2674,7187314,3,GPSC91
South.Africa.post.PCV7,9N,1,1,2674,7187314,3,GPSC137
South.Africa.post.PCV7,23F_pv,6,5,2674,7187314,3,GPSC5
South.Africa.post.PCV7,16F,27,4,2674,7187314,3,GPSC33
South.Africa.post.PCV7,15A,1,0,2674,7187314,3,GPSC142
South.Africa.post.PCV7,38,4,4,2674,7187314,3,GPSC38
South.Africa.post.PCV7,13,20,3,2674,7187314,3,GPSC52
South.Africa.post.PCV7,19A,44,43,2674,7187314,3,GPSC17
South.Africa.post.PCV7,15BC,1,0,2674,7187314,3,GPSC40
South.Africa.post.PCV7,23F_pv,39,35,2674,7187314,3,GPSC14
South.Africa.post.PCV7,19F_pv,11,3,2674,7187314,3,GPSC90
South.Africa.post.PCV7,6B_pv,7,0,2674,7187314,3,GPSC14
South.Africa.post.PCV7,22F,2,2,2674,7187314,3,GPSC3
South.Africa.post.PCV7,35B,3,0,2674,7187314,3,GPSC160
South.Africa.post.PCV7,14_pv,7,25,2674,7187314,3,GPSC10
South.Africa.post.PCV7,3,2,1,2674,7187314,3,GPSC12
South.Africa.post.PCV7,17F,5,2,2674,7187314,3,GPSC61
South.Africa.post.PCV7,15BC,13,2,2674,7187314,3,GPSC48
South.Africa.post.PCV7,6A_pv,15,34,2674,7187314,3,GPSC41
South.Africa.post.PCV7,15A,4,0,2674,7187314,3,GPSC179
South.Africa.post.PCV7,6B_pv,7,2,2674,7187314,3,GPSC52
South.Africa.post.PCV7,16F,1,1,2674,7187314,3,GPSC207
South.Africa.post.PCV7,6B_pv,44,19,2674,7187314,3,GPSC37
South.Africa.post.PCV7,19F_pv,68,16,2674,7187314,3,GPSC21
South.Africa.post.PCV7,10A,3,0,2674,7187314,3,GPSC35
South.Africa.post.PCV7,34,23,1,2674,7187314,3,GPSC34
South.Africa.post.PCV7,15BC,16,6,2674,7187314,3,GPSC25
South.Africa.post.PCV13,35B,20,10,2023,7329006,2,GPSC5
South.Africa.post.PCV7,5,2,12,2674,7187314,3,GPSC8
South.Africa.post.PCV7,20A,8,2,2674,7187314,3,GPSC22
South.Africa.post.PCV7,21,5,0,2674,7187314,3,GPSC11
South.Africa.post.PCV7,23B,10,0,2674,7187314,3,GPSC102
South.Africa.post.PCV7,14_pv,1,0,2674,7187314,3,GPSC238
South.Africa.post.PCV7,17F,5,3,2674,7187314,3,GPSC49
South.Africa.post.PCV7,7C,1,0,2674,7187314,3,GPSC92
South.Africa.post.PCV13,23A,4,2,2023,7329006,2,GPSC7
South.Africa.post.PCV13,38,8,1,2023,7329006,2,GPSC38
South.Africa.post.PCV13,17F,5,4,2023,7329006,2,GPSC61
South.Africa.post.PCV13,11A,24,4,2023,7329006,2,GPSC22
South.Africa.post.PCV13,8,4,28,2023,7329006,2,GPSC3
South.Africa.post.PCV13,15A,15,3,2023,7329006,2,GPSC22
South.Africa.post.PCV13,34,25,4,2023,7329006,2,GPSC34
South.Africa.post.PCV13,9V_pv,4,2,2023,7329006,2,GPSC54
South.Africa.post.PCV13,13,16,2,2023,7329006,2,GPSC52
South.Africa.post.PCV13,19A_pv,12,30,2023,7329006,2,GPSC17
South.Africa.post.PCV13,20A,1,1,2023,7329006,2,GPSC255
South.Africa.post.PCV13,6A_pv,2,4,2023,7329006,2,GPSC41
South.Africa.post.PCV13,15A,2,0,2023,7329006,2,GPSC40
South.Africa.post.PCV13,20A,4,1,2023,7329006,2,GPSC22
South.Africa.post.PCV13,11A,1,0,2023,7329006,2,GPSC14
South.Africa.post.PCV13,35B,3,4,2023,7329006,2,GPSC160
South.Africa.post.PCV13,4_pv,2,2,2023,7329006,2,GPSC79
South.Africa.post.PCV13,6B_pv,2,0,2023,7329006,2,GPSC52
South.Africa.post.PCV13,15BC,21,11,2023,7329006,2,GPSC25
South.Africa.post.PCV13,9N,1,0,2023,7329006,2,GPSC16
South.Africa.post.PCV13,19F_pv,5,1,2023,7329006,2,GPSC90
South.Africa.post.PCV13,22F,1,3,2023,7329006,2,GPSC3
South.Africa.post.PCV13,35F,8,0,2023,7329006,2,GPSC126
South.Africa.post.PCV13,34,1,1,2023,7329006,2,GPSC305
South.Africa.post.PCV13,19F_pv,4,12,2023,7329006,2,GPSC1
South.Africa.post.PCV13,23A,1,0,2023,7329006,2,GPSC10
South.Africa.post.PCV13,23B,6,1,2023,7329006,2,GPSC102
South.Africa.post.PCV13,9N,4,0,2023,7329006,2,GPSC125
South.Africa.post.PCV7,18C_pv,3,3,2674,7187314,3,GPSC11
South.Africa.post.PCV7,3,7,5,2674,7187314,3,GPSC51
South.Africa.post.PCV7,21,1,0,2674,7187314,3,GPSC514
South.Africa.post.PCV7,35A,2,0,2674,7187314,3,GPSC199
South.Africa.post.PCV7,7F,1,2,2674,7187314,3,GPSC32
South.Africa.post.PCV7,23A,3,1,2674,7187314,3,GPSC7
South.Africa.post.PCV7,11A,9,1,2674,7187314,3,GPSC22
South.Africa.post.PCV7,16F,4,1,2674,7187314,3,GPSC114
South.Africa.post.PCV7,16F,1,1,2674,7187314,3,GPSC46
South.Africa.post.PCV7,19F_pv,1,1,2674,7187314,3,GPSC192
South.Africa.post.PCV7,6A_pv,1,0,2674,7187314,3,GPSC513
South.Africa.post.PCV7,35A,3,0,2674,7187314,3,GPSC43
South.Africa.post.PCV7,15BC,1,0,2674,7187314,3,GPSC512
South.Africa.post.PCV7,19A,1,1,2674,7187314,3,GPSC14
South.Africa.post.PCV7,6A_pv,16,4,2674,7187314,3,GPSC5
South.Africa.post.PCV7,15BC,6,0,2674,7187314,3,GPSC246
South.Africa.post.PCV7,6C,1,1,2674,7187314,3,GPSC178
South.Africa.post.PCV7,20A,1,1,2674,7187314,3,GPSC255
South.Africa.post.PCV13,6B_pv,3,3,2023,7329006,2,GPSC37
South.Africa.post.PCV13,23A,1,2,2023,7329006,2,GPSC116
South.Africa.post.PCV13,6C_pv,2,1,2023,7329006,2,GPSC178
South.Africa.post.PCV13,10A,2,0,2023,7329006,2,GPSC40
South.Africa.post.PCV13,23F_pv,15,17,2023,7329006,2,GPSC14
South.Africa.post.PCV7,23A,2,0,2674,7187314,3,GPSC116
South.Africa.post.PCV7,NT,2,0,2674,7187314,3,GPSC258
South.Africa.post.PCV7,NT,1,0,2674,7187314,3,GPSC60
South.Africa.post.PCV13,6A_pv,4,11,2023,7329006,2,GPSC13
South.Africa.post.PCV13,16F,1,4,2023,7329006,2,GPSC46
South.Africa.post.PCV7,33D,2,3,2674,7187314,3,GPSC30
South.Africa.post.PCV13,18C_pv,1,1,2023,7329006,2,GPSC11
South.Africa.post.PCV13,15BC,11,9,2023,7329006,2,GPSC48
South.Africa.post.PCV13,35A,2,0,2023,7329006,2,GPSC259
South.Africa.post.PCV13,16F,3,3,2023,7329006,2,GPSC114
South.Africa.post.PCV13,16F,2,0,2023,7329006,2,GPSC207
South.Africa.post.PCV13,NT,3,0,2023,7329006,2,GPSC211
South.Africa.post.PCV13,NT,1,0,2023,7329006,2,GPSC60
South.Africa.post.PCV13,19F_pv,21,10,2023,7329006,2,GPSC21
South.Africa.post.PCV13,31,2,1,2023,7329006,2,GPSC57
South.Africa.post.PCV13,1_pv,2,23,2023,7329006,2,GPSC2
South.Africa.post.PCV13,3_pv,1,0,2023,7329006,2,GPSC83
South.Africa.post.PCV13,11A,1,0,2023,7329006,2,GPSC163
South.Africa.post.PCV13,21,8,2,2023,7329006,2,GPSC11
South.Africa.post.PCV13,15A,2,1,2023,7329006,2,GPSC179
