type,invasiveness,invasiveness_lower,invasiveness_upper
1,0.017306487332837,0.00977434151305262,0.0313465265599201
13,0.000641136431718939,0.000181165818687303,0.00210187050439682
14,0.00425720451814257,0.00258389265675727,0.00699992895958463
20,0.000764947814335124,0.000205921000405982,0.00259402357512921
3,0.00204128172923258,0.00122747712323621,0.0034228107995988
31,0.000487508830110507,0.000169293255028087,0.00127246203929191
37,8.73857936299313e-05,4.08275642783979e-06,0.000582177503837751
38,0.000884785485051211,0.000378174145678876,0.00198873940303258
4,0.00192779838425174,0.000997131419153093,0.0037122156946575
5,0.00734989518727071,0.00290832765960712,0.0190321029022971
8,0.00192778518247364,0.000884503659754045,0.00411288030360442
10A,0.000724949122177665,0.000399899187832093,0.00130123990913038
11A,6.77785666409278e-05,3.10752567574189e-05,0.000137947752239885
15A,0.000417527980179903,0.000218575301339506,0.000798783879697387
15B/C,0.000350450029963272,0.000206561593111568,0.000592659860950978
16F,0.000396809553251291,0.000191384605800861,0.000802641191453472
17F,0.000385326654007176,0.000177277845958622,0.000817525482393014
19A,0.00155276860126482,0.00100526519787505,0.00241499994716684
19F,0.00064628051752876,0.000388588816569185,0.00106958621440333
21,0.000201191723053622,8.63910480193485e-05,0.00043740678905833
22F,0.00102956781356302,0.000579433867526241,0.001867676643371
23A,0.000159489643548523,7.97250367814063e-05,0.000309150509489076
23B,0.000260242673593068,0.000136973541701533,0.000481293243806414
23F,0.000692182406013696,0.000408210814992248,0.00119248708177883
34,0.000100522243695588,2.11909492164257e-05,0.000326088950875353
35B,0.000130789512742347,5.64560410836904e-05,0.000282207167203243
6A,0.000435339407238099,0.000258206426923454,0.000737138290024887
6B,0.000751585706256842,0.000448497435411389,0.001258866189586
6C,8.36527546995498e-05,3.31864675469349e-05,0.000199018240299565
7F,0.00955577920275352,0.00558926749776212,0.016678469993424
18A,0.000198001510080884,2.43125238691192e-05,0.000991711750205049
18C,0.00273207102148264,0.00146697046533674,0.00520504850783388
19B,1.22017298254343e-05,1.14070066130824e-06,0.000456117500379924
24F,0.00221225480824379,0.0010413936539902,0.00480515098840437
25A,0.00165141051651395,0.000589976401575755,0.00500660807717493
28A,0.00301090213061906,0.000175700001064865,0.122447055697762
29,6.39161619681567e-05,3.15448575829138e-06,0.000496397918354293
35F,0.000150455744934267,6.39397500030814e-05,0.000328279283660717
42,1.64727034476203e-05,1.1485247591461e-06,0.000721087752303597
7C,0.000395968078807268,0.000112206548547661,0.00124464123083086
9V,0.00206598279845095,0.00108251944299008,0.00392155680810816
10B,0.000509389844494032,8.66360486448286e-05,0.00249463469166522
12F,0.00604185287379925,0.00279991943562254,0.0141061491643519
15F,0.000170123300166289,2.02083655214776e-05,0.000864026455062348
18B,0.00124945709832586,0.000238400207766176,0.00647740004764962
18F,0.000728671850027043,6.36008620504993e-05,0.00682715327525218
35C,0.00068871049193812,1.47981860372811e-05,0.0345205695664563
9N,0.000529002688683255,0.000217874616037613,0.00123839358388801
28F,0.000629505977950964,5.89638935363083e-05,0.00546065442840025
33F,0.00134331055960442,0.000701536413990498,0.00260362714263321
40,0.00133846997461256,2.80248334452259e-05,0.0582094968249939
12B,0.000811154229848642,7.42387102385189e-05,0.00720154276127019
24B,0.00341769534218185,0.000432780069399651,0.0397781644729013
45,1.60690114347185e-05,1.1309785447003e-06,0.000842725740828315
46,0.0442990863665676,0.00447299728729766,0.570835275093796
9A,0.000335225096715175,1.03750856015762e-05,0.00445225735285593
9L,0.00268938450687417,0.000175749113163652,0.039503533475621
2,0.00396667808056597,0.000257626265044538,0.0519109501755693
36,2.58839998099884e-05,1.1820498282222e-06,0.00170666709060845
39,8.13720832508607e-05,1.22435094066609e-06,0.0163443113911506
43,0.000134550145824311,1.25458135568121e-06,0.0536979753199508
47,0.00013838424471484,1.23940863122508e-06,0.05562789912659
33A,1.83168515883687e-05,1.16579300526127e-06,0.000927087809352373
10C,8.49579951853475e-05,1.27857906584461e-06,0.0213258979431922
10F,2.13046068505099e-05,1.16050548851916e-06,0.00113955139125871
22A,8.59162706765511e-05,1.25009532348606e-06,0.0209610130029039
27,0.00450929445931807,0.00105355976436417,0.0191759279052972
35A,1.46446185008473e-05,1.12973321747656e-06,0.000569025070445038
19C,0.00972772912616482,0.000210930671010865,0.411665900493469
11B,0.000798691335505034,1.71870602231671e-05,0.0341311775388045
11F,1.75450713705624e-05,1.15584175091417e-06,0.00130519187429745
24A,0.000324684008602983,8.95359673303925e-06,0.00572558971878747
