genotype,type,strain,serotype_invasiveness,serotype_invasiveness_lower,serotype_invasiveness_upper,strain_invasiveness,strain_invasiveness_lower,strain_invasiveness_upper
1_GPSC2,1,GPSC2,0.00202613659148459,0.000274711826372219,0.0171072018362419,0.884462618320399,0.105517202050625,6.30647565362482
1_GPSC31,1,GPSC31,0.00202613659148459,0.000274711826372219,0.0171072018362419,1.13150576811429,0.148900665726025,9.53907630982469
10A_GPSC194,10A,GPSC194,5.09636369036498e-05,1.44065258581731e-05,0.000171312051111523,0.689218013972559,0.0796308524149895,3.459696121507
10A_GPSC326,10A,GPSC326,5.09636369036498e-05,1.44065258581731e-05,0.000171312051111523,1.48260115266165,0.187417979545939,15.5797717177003
10A_GPSC35,10A,GPSC35,5.09636369036498e-05,1.44065258581731e-05,0.000171312051111523,0.998913729077605,0.243633841325398,4.1105300025935
10A_GPSC36,10A,GPSC36,5.09636369036498e-05,1.44065258581731e-05,0.000171312051111523,0.997981221741124,0.294972010620857,3.43897248525004
10A_GPSC40,10A,GPSC40,5.09636369036498e-05,1.44065258581731e-05,0.000171312051111523,0.146178022774396,0.0341867743650832,0.920788466473728
10B_GPSC30,10B,GPSC30,5.52047213675553e-06,1.08428837849395e-06,0.000139373292747096,0.365955463506649,0.0390008270171341,2.05206410395442
10B_GPSC358,10B,GPSC358,5.52047213675553e-06,1.08428837849395e-06,0.000139373292747096,0.768191273654777,0.0485497578803161,9.71183717433108
10F_GPSC30,10F,GPSC30,0.00023356628587095,4.55705848892446e-06,0.0151414397244936,0.365955463506649,0.0390008270171341,2.05206410395442
10X_GPSC241,10X,GPSC241,0.000129902647734632,2.55314960750481e-06,0.0107923668428396,0.980051346611714,0.0555447573501139,16.8972583188115
11A_GPSC14,11A,GPSC14,1.51496914118381e-05,5.93507338420547e-06,3.62163941502144e-05,0.925951867549621,0.481671824121413,1.73671923764084
11A_GPSC163,11A,GPSC163,1.51496914118381e-05,5.93507338420547e-06,3.62163941502144e-05,0.648150663426003,0.0463299544564303,4.99577489493026
11A_GPSC22,11A,GPSC22,1.51496914118381e-05,5.93507338420547e-06,3.62163941502144e-05,0.533163798083487,0.223147504020012,1.18010254801105
11A_GPSC3,11A,GPSC3,1.51496914118381e-05,5.93507338420547e-06,3.62163941502144e-05,1.16083336563081,0.50029869101805,2.81278233061008
11A_GPSC360,11A,GPSC360,1.51496914118381e-05,5.93507338420547e-06,3.62163941502144e-05,1.82278956074887,0.235097086808242,18.7434748896585
11A_GPSC466,11A,GPSC466,1.51496914118381e-05,5.93507338420547e-06,3.62163941502144e-05,0.726767209226762,0.0510418470741885,5.97002506021593
11A_GPSC6,11A,GPSC6,1.51496914118381e-05,5.93507338420547e-06,3.62163941502144e-05,1.64373501274918,0.889612063903835,3.15384544715466
11D_GPSC3,11D,GPSC3,7.61639189472546e-06,1.09237603188317e-06,0.000235960139022848,1.16083336563081,0.50029869101805,2.81278233061008
12B_GPSC218,12B,GPSC218,8.9116443835577e-06,1.11769936335908e-06,0.000541085761311887,0.676331441513989,0.0442395580123064,8.28182111481828
12F_GPSC26,12F,GPSC26,0.000647404036774603,0.000172722284861316,0.00276276566050623,1.21142538775342,0.252838541963743,7.35639547062275
12F_GPSC32,12F,GPSC32,0.000647404036774603,0.000172722284861316,0.00276276566050623,0.952835352450473,0.24833166023813,3.58705038288162
