,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
serotype_specific_strain_modified_poisson,0,0,-385.201942620065,9.80025151898712,94.9227280122271,3.09258310676544,770.403885240129,19.6005030379742
strain_and_serotype_specific_poisson,-1.55592822505158,3.56542139289261,-386.757870845116,10.7802991611704,99.9171087953969,3.60933228814323,773.515741690233,21.5605983223408
strain_specific_serotype_modified_poisson,-4.76957255740348,3.49783540469625,-389.971515177468,10.2652346041048,101.69950548869,3.62841633549287,779.943030354936,20.5304692082097
serotype_specific_strain_modified_negbin,-26.9723718742529,3.33737708478029,-412.174314494318,11.2604562342128,91.873269267475,3.01193567056394,824.348628988635,22.5209124684255
strain_specific_serotype_modified_negbin,-37.882645165143,4.89451811139996,-423.084587785207,12.2449425413352,100.392071885426,3.50449872738613,846.169175570415,24.4898850826704
serotype_specific_negbin,-41.0813476276692,5.90501667794769,-426.283290247734,12.4869380980521,81.7065337967579,2.92790320808046,852.566580495467,24.9738761961042
strain_specific_poisson,-43.6122119118247,18.7611030006388,-428.814154531889,22.2544721084981,116.786197090657,11.3040891760331,857.628309063779,44.5089442169962
serotype_specific_poisson,-45.2093090991087,14.4830872179163,-430.411251719173,18.8294713485599,94.0407301240209,6.14628086550237,860.822503438347,37.6589426971197
strain_and_serotype_specific_negbin,-48.2269869430106,6.01641027306233,-433.428929563075,12.7501543770823,108.094514681392,3.72433525586228,866.857859126151,25.5003087541645
strain_specific_negbin,-61.0015776699779,6.80620572854245,-446.203520290043,13.0671180347198,103.22325973135,3.35131862130015,892.407040580085,26.1342360694396
