study,type,carriage_samples,surveillance_population,time_interval,carriage,disease,model_name,rho,rho_lower,rho_upper,delta,delta_lower,delta_upper,nu,nu_lower,nu_upper,phi,phi_lower,phi_upper,carriage_prediction,carriage_prediction_lower,carriage_prediction_upper,disease_prediction,disease_prediction_lower,disease_prediction_upper,carriage_rmse,disease_rmse,classification
Alabama.pre.PCV,1,827,19316,3.4,5,4,adjusted_type_specific_negbin,0.0054593125982254,0.00226660399088565,0.0114586740559469,1.33187421967662,0.639188851599072,2.79764843221233,0.0172863329544385,0.00987005549069674,0.0314217272281422,3.54405372684984,2.48735345296771,5.1992340148223,4.51485151873241,1.87448150046243,9.47632344426805,8.12063513559167,3.00522908319448,22.0564051370665,0.485148481267591,4.12063513559167,PCV10
Alabama.pre.PCV,13,827,19316,3.4,6,0,adjusted_type_specific_negbin,0.00757486054886237,0.00314615774300777,0.0147486782785115,1.33187421967662,0.639188851599072,2.79764843221233,0.000646064239496631,0.000179626011284756,0.00211440991216995,3.54405372684984,2.48735345296771,5.1992340148223,6.26440967390918,2.60187245346743,12.197156936329,0.420563563889229,0.0868692126664355,1.66436122166747,0.26440967390918,0.420563563889229,No PCV
Alabama.pre.PCV,14,827,19316,3.4,20,18,adjusted_type_specific_negbin,0.0275150459030484,0.0182719116574219,0.0395796627209514,1.33187421967662,0.639188851599072,2.79764843221233,0.00423723681930139,0.00258012255252856,0.00696647306397263,3.54405372684984,2.48735345296771,5.1992340148223,22.754942961821,15.1108709406879,32.7323810702268,10.0902857552685,5.09945172614656,20.6014137688757,2.75494296182099,7.90971424473146,PCV7
Alabama.pre.PCV,20,827,19316,3.4,3,0,adjusted_type_specific_negbin,0.00406699914836178,0.0012316588283693,0.00975525099050384,1.33187421967662,0.639188851599072,2.79764843221233,0.000773292611718912,0.000204023972119869,0.00255784196731255,3.54405372684984,2.48735345296771,5.1992340148223,3.3634082956952,1.01858185106141,8.06759256914667,0.269729048061298,0.0456855016954468,1.2144610748245,0.363408295695195,0.269729048061298,PPV23
Alabama.pre.PCV,3,827,19316,3.4,35,0,adjusted_type_specific_negbin,0.0402189970281285,0.0283168257855183,0.0550995377978993,1.33187421967662,0.639188851599072,2.79764843221233,0.00203482336000799,0.00122555507102751,0.00343097201199959,3.54405372684984,2.48735345296771,5.1992340148223,33.2611105422623,23.4180149246236,45.5673177588628,7.11277191312091,3.16082980677044,16.4963103553944,1.73888945773769,7.11277191312091,PCV13
Alabama.pre.PCV,31,827,19316,3.4,0,1,adjusted_type_specific_negbin,0.0018982427747034,0.000275732055885754,0.00629520048873631,1.33187421967662,0.639188851599072,2.79764843221233,0.00048954548673512,0.000169207621326834,0.00127226840209249,3.54405372684984,2.48735345296771,5.1992340148223,1.56984677467971,0.228030410217518,5.20613080418493,0.0776784365280474,0.00902514383858386,0.404167167373058,1.56984677467971,0.922321563471953,No PCV
Alabama.pre.PCV,37,827,19316,3.4,13,0,adjusted_type_specific_negbin,0.0163302276448635,0.00914029660773075,0.0264864829356566,1.33187421967662,0.639188851599072,2.79764843221233,8.82466692072548e-05,4.22185054013693e-06,0.000564483172719643,3.54405372684984,2.48735345296771,5.1992340148223,13.5050982623021,7.55902529459333,21.904321387788,0.123674110437649,0.00573856073430592,0.877893272411792,0.505098262302148,0.123674110437649,No PCV
Alabama.pre.PCV,38,827,19316,3.4,3,0,adjusted_type_specific_negbin,0.00404725570791597,0.00119202751478415,0.0097708170633709,1.33187421967662,0.639188851599072,2.79764843221233,0.000879697208331091,0.000380234437153394,0.00197471506733782,3.54405372684984,2.48735345296771,5.1992340148223,3.3470804704465,0.985806754726491,8.08046571140774,0.304515315209165,0.0666894699913544,1.12017400494308,0.347080470446503,0.304515315209165,No PCV
Alabama.pre.PCV,4,827,19316,3.4,14,8,adjusted_type_specific_negbin,0.0205179924924595,0.0126520226753756,0.0313162574601786,1.33187421967662,0.639188851599072,2.79764843221233,0.00190772142059072,0.000993460219808901,0.0036730064261805,3.54405372684984,2.48735345296771,5.1992340148223,16.968379791264,10.4632227525356,25.8985449195677,3.40392086898689,1.50569475897383,7.5891467463421,2.96837979126402,4.59607913101311,PCV7
Alabama.pre.PCV,5,827,19316,3.4,0,1,adjusted_type_specific_negbin,0.00111434743517435,0.000148716305278314,0.00421800094210342,1.33187421967662,0.639188851599072,2.79764843221233,0.00733836577997457,0.00296750469931036,0.0189575823678622,3.54405372684984,2.48735345296771,5.1992340148223,0.921565328889191,0.122988384465165,3.48828677911953,0.69872817402109,0.0890392204037466,3.12565589073763,0.921565328889191,0.30127182597891,PCV10
